iter	Passed	Remaining
0	65	1315219
1	67	675005
2	69	461366
3	70	354884
4	72	290097
5	74	247443
6	75	216443
7	77	193222
8	78	175136
9	80	161873
10	82	150066
11	84	140195
12	85	131887
13	87	124735
14	88	118422
15	90	113015
16	91	108034
17	93	103681
18	94	99902
19	96	96351
20	97	93117
21	99	90099
22	100	87371
23	102	84947
24	103	82578
25	104	80341
26	105	78284
27	106	76316
28	108	74496
29	109	72762
30	110	71195
31	111	69739
32	113	68381
33	114	66978
34	115	65651
35	116	64500
36	117	63307
37	118	62193
38	119	61259
39	121	60563
40	122	59668
41	123	58795
42	124	57954
43	126	57160
44	127	56342
45	128	55581
46	129	54831
47	130	54108
48	131	53470
49	132	52855
50	133	52263
51	134	51725
52	136	51199
53	137	50653
54	138	50115
55	139	49658
56	140	49191
57	141	48717
58	143	48459
59	144	47998
60	145	47572
61	146	47188
62	147	46822
63	149	46446
64	150	46104
65	151	45761
66	152	45390
67	153	45063
68	154	44737
69	156	44478
70	157	44219
71	158	43989
72	160	43703
73	161	43448
74	162	43218
75	163	42946
76	165	42704
77	166	42490
78	167	42284
79	168	42028
80	169	41780
81	171	41543
82	172	41285
83	173	41075
84	174	40854
85	175	40645
86	176	40462
87	178	40279
88	179	40113
89	180	39920
90	181	39719
91	182	39522
92	183	39323
93	184	39135
94	186	38983
95	187	38818
96	188	38645
97	189	38462
98	190	38287
99	191	38139
100	192	37999
101	193	37841
102	195	37700
103	196	37624
104	197	37508
105	198	37347
106	200	37187
107	201	37039
108	202	36916
109	203	36767
110	204	36624
111	205	36475
112	206	36370
113	208	36338
114	209	36190
115	210	36083
116	211	35942
117	212	35837
118	214	35838
119	215	35707
120	216	35593
121	217	35480
122	218	35367
123	220	35272
124	221	35158
125	222	35076
126	223	34997
127	224	34900
128	226	34832
129	227	34750
130	228	34653
131	229	34585
132	231	34561
133	232	34449
134	233	34365
135	234	34269
136	235	34160
137	236	34073
138	237	33981
139	238	33893
140	239	33800
141	241	33714
142	242	33637
143	243	33543
144	244	33453
145	245	33358
146	246	33287
147	247	33219
148	248	33144
149	249	33072
150	251	33000
151	252	32922
152	253	32838
153	254	32787
154	255	32732
155	256	32663
156	257	32586
157	258	32524
158	260	32453
159	261	32396
160	262	32317
161	263	32258
162	264	32198
